Timestamp,"Usia anda saat ini
*contoh : 13 Tahun",Jenis Kelamin,Status Anda saat ini (Anda dapat memilih lebih dari satu opsi),Durasi anda tidur dalam sehari,Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda rutin mengonsumsi kafein?],Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda rutin berolahraga?],Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda sering mengonsumsi makanan atau minuman sebelum tidur?],Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda memiliki kebiasaan menggunakan perangkat elektronik (seperti smartphone atau tablet) sebelum tidur?],"Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda memiliki rutinitas tidur yang teratur, seperti menjaga jadwal tidur yang konsisten?]",Pilihlah sesuai dengan produktivitas Anda [Seberapa sering Anda merasa segar dan bertenaga saat bangun tidur?],Pilihlah sesuai dengan produktivitas Anda [Seberapa sering Anda mengalami kantuk berlebihan atau mengantuk di siang hari?],Pilihlah sesuai dengan produktivitas Anda [Seberapa sering Anda mencapai target dalam pekerjaan Anda?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda pernah merasa sulit untuk menyelesaikan tugas atau pekerjaan karena kurang tidur?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda merasa memiliki cukup energi untuk menyelesaikan tugas atau pekerjaan yang ada?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda merasa terorganisir dalam mengelola waktu dan tugas-tugas Anda?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda merasa lebih produktif saat tidur dengan baik dan cukup dibandingkan saat tidur yang kurang berkualitas?],Apa penyebab yang membuat anda mengalami kesulitan untuk tidur?,Apa faktor utama yang dapat membuat Anda menjadi kurang produktif/malas?
5/21/2023 9:45:11,19 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Tidak,Ya,Kadang-kadang,Jarang,Kadang-kadang,Jarang,Ya,Tidak,Tidak,Ya,"Karena banyaknya tugas dengan deadline yang sempit, dan tidak adanya kontibutor dalam sebuah kelompok sehingga semua pekerjaan dibebankan kepada satu orang","Pengaruh HP, kurang liburan"
5/21/2023 11:06:18,20 tahun,Laki - laki,Mahasiswa,8 - 10 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Kadang-kadang,Sering,Kadang-kadang,Sering,Ya,Ya,Ya,Ya,Banyaknya kegiatan dihari yang akan datang membuat otak berpikir disaat ingin tidur ,Rasa lelah dan kurangnya motivasi 
5/21/2023 11:07:54,20 Tahun,Laki - laki,Mahasiswa,6 - 8 jam,Kadang-kadang,Tidak,Ya,Ya,Tidak,Jarang,Sering,Sering,Ya,Ya,Tidak,Ya,"Kurang nyaman, Laper",Menunda-nunda pekerjaan
5/21/2023 22:35:57,20 tahun,Perempuan,Mahasiswa,6 - 8 jam,Kadang-kadang,Tidak,Tidak,Ya,Ya,Sering,Sering,Sering,Ya,Ya,Ya,Ya,kepikiran tugas,ngantuk pengen tidur
5/22/2023 10:33:57,20 tahun,Laki - laki,Mahasiswa,Kurang dari 4 jam,Ya,Ya,Kadang-kadang,Ya,Tidak,Sering,Sering,Sangat sering,Ya,Ya,Ya,Ya,"Push rank, push tugas, kerjaan",kebiasaan
5/22/2023 10:35:21,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Kadang-kadang,Ya,Ya,Tidak,Ya,Tugas tugas yang menumpuk dari dosen,Ngantuk 
5/22/2023 10:37:38,19 tahun,Perempuan,Mahasiswa,4 - 6 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Tidak,Jarang,Jarang,Jarang,Ya,Ya,Tidak,Ya,Banyak tugas,Jadwal tidak teratur 
5/22/2023 10:40:49,20 tahun,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Tidak,Kadang-kadang,Jarang,Kadang-kadang,Ya,Ya,Ya,Ya,Tugas yang kepikiran heheğŸ˜,Scroll tiktok wkwk ğŸ˜­
5/22/2023 10:42:00,19 Tahun,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Tidak,Ya,Ya,Kadang-kadang,Jarang,Kadang-kadang,Sering,Ya,Ya,Ya,Ya,Tugas numpuk,Ngantuk
5/22/2023 10:42:45,21 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Tidak,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Ya,Ya,Ya,Minum kopi,"Ngantuk, kurang energi "
5/22/2023 10:42:59,26,Perempuan,"Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.), Ibu rumah tangga",6 - 8 jam,Ya,Tidak,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sangat sering,Sering,Ya,Ya,Tidak,Ya,ide atau pikiran yang keluar saat menjelang tidur,"kurang motivasi, kalau bisa di kerjakan besok, kenapa harus sekarang"
5/22/2023 10:43:39,20 tahun,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Kadang-kadang,Ya,Tidak,Jarang,Sering,Kadang-kadang,Ya,Ya,Ya,Ya,Tidak tau,Kurang tidur
5/22/2023 10:46:25,19 Tahun,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Tidak,Kadang-kadang,Sering,Sering,Ya,Ya,Ya,Ya,Banyak pikiran yang ga selesai selesai,"Ngantuk, lebih enak rebahan"
5/22/2023 10:47:05,20 tahun,Laki - laki,Mahasiswa,Kurang dari 4 jam,Ya,Tidak,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sering,Jarang,Tidak,Ya,Ya,Ya,Banyak mengkonsumsi kopi dan sering overthinking,Kurangnya semangat belajar dikarenakan banyak pikiran
5/22/2023 10:49:06,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Ya,Sering,Kadang-kadang,Sering,Tidak,Ya,Ya,Ya,banyak pikiran,Gadget
5/22/2023 10:49:19,21 Tahun,Perempuan,"Mahasiswa, Pengusaha (wirausaha atau pemilik usaha)",Kurang dari 4 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Tidak,Jarang,Sangat sering,Sering,Ya,Tidak,Tidak,Ya,jadwal yang padat,mengantuk
5/22/2023 10:51:20,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Tidak,Kadang-kadang,Sering,Sering,Ya,Tidak,Ya,Ya,banyaknya kegiatan dan tugas,mood yg jelek karna lelah
5/22/2023 10:52:20,20 tahun,Laki - laki,"Mahasiswa, Tidak bekerja (pengangguran, mencari pekerjaan, pensiun dini, dll.)",4 - 6 jam,Ya,Tidak,Tidak,Ya,Ya,Kadang-kadang,Sangat sering,Kadang-kadang,Ya,Ya,Tidak,Ya,Kebiasaan bergadang,Mengantuk
5/22/2023 10:54:47,20 Tahun,Laki - laki,"Mahasiswa, Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.)",6 - 8 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Ya,Jarang,Sangat sering,Sering,Ya,Ya,Tidak,Ya,Mempunyai gejala insomnia sehingga menyebabkan tidur kurang dari 7 jam ,Dikarnakan kurang tidur yang cukup
5/22/2023 10:57:47,19 tahun ,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sering,Jarang,Ya,Ya,Ya,Tidak,"Banyak pikiran, dan maksain buat mengerjakan tugas kuliah yang mepet deadline ",Tidak ada suport sistem ğŸ™ƒ
5/22/2023 11:13:49,19 Tahun,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak,Ya,Ya,Ya,Overthinking ,Rasa Malas
5/22/2023 11:15:22,20,Perempuan,Mahasiswa,8 - 10 jam,Kadang-kadang,Tidak,Ya,Ya,Ya,Kadang-kadang,Sering,Kadang-kadang,Ya,Ya,Ya,Tidak,memikirkan tugas,-
5/22/2023 11:21:42,20,Laki - laki,Mahasiswa,4 - 6 jam,Ya,Kadang-kadang,Ya,Ya,Kadang-kadang,Sering,Kadang-kadang,Sering,Tidak,Tidak,Ya,Ya,insomnia,nongkrong
5/22/2023 11:23:34,20,Laki - laki,"Mahasiswa, Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.)",Kurang dari 4 jam,Ya,Kadang-kadang,Ya,Ya,Tidak,Jarang,Jarang,Kadang-kadang,Ya,Tidak,Tidak,Ya,Pikiran,Masalah
5/22/2023 11:24:33,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sering,Kadang-kadang,Ya,Tidak,Tidak,Ya,Ovt,Mengantuk 
5/22/2023 11:30:51,20 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Kadang-kadang,Jarang,Sering,Kadang-kadang,Ya,Ya,Tidak,Ya,Insomnia ,Kurang tidur
5/22/2023 11:35:28,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Ya,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Kadang-kadang,Sering,Sering,Ya,Ya,Tidak,Ya,Overthinking,Ngantuk
5/22/2023 11:46:29,20 tahun,Laki - laki,Pekerja Part-time,6 - 8 jam,Tidak,Kadang-kadang,Ya,Ya,Tidak,Jarang,Sangat sering,Kadang-kadang,Ya,Ya,Ya,Ya,Push rank ml ,Gapunya cewe
5/22/2023 11:46:43,20 Tahun,Perempuan,Mahasiswa,6 - 8 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Kadang-kadang,Sering,Sering,Ya,Ya,Ya,Ya,karna tidur disiang hari  dan sedang maraton drakor,Karnaa kurang tidur jadi kaya gak punya energi terus kadang karna cuaca juga 
5/22/2023 11:52:54,19,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Ya,Kadang-kadang,Ya,Tidak,Jarang,Sering,Kadang-kadang,Ya,Tidak,Tidak,Ya,"Awalnya karena banyak tugas yang harus dikerjakan, terkadang bahkan tidak tidur untuk menyelesaikan tugas. Hampir setiap hari dan akhirnya terbiasa. Sehingga kini sulit untuk tidur tepat waktu atau bahkan tidak bisa tidur","Terlalu lelah dan kurang tidur, sehingga terkadang lebih memilih istirahat dan leha-leha "
5/22/2023 11:59:16,20 Tahun,Laki - laki,Mahasiswa,6 - 8 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Sering,Sangat sering,Sering,Ya,Ya,Tidak,Ya,Tugas banyak :(,Banyak pikiran mungkin 
5/22/2023 12:10:22,20,Perempuan,Mahasiswa,6 - 8 jam,Ya,Kadang-kadang,Kadang-kadang,Ya,Ya,Jarang,Sering,Kadang-kadang,Ya,Tidak,Tidak,Ya,"Karena kegiatan kuliah yang padat (pagi-sore) dan dilanjutkan dengan tugas"" lain yg harus diselesaikan",Kurang tidur
5/22/2023 12:40:07,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sering,Sering,Ya,Tidak,Ya,Ya,Overthinking,Mengantuk
5/22/2023 12:42:52,49 thn,Perempuan,Ibu rumah tangga,4 - 6 jam,Tidak,Tidak,Tidak,Tidak,Kadang-kadang,Kadang-kadang,Kadang-kadang,Jarang,Ya,Ya,Ya,Ya,Terlalu cape saat siang hari,Kurang tidur
5/22/2023 12:45:04,20 tahun,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Kadang-kadang,Ya,Tidak,Jarang,Sering,Kadang-kadang,Ya,Tidak,Tidak,Ya,biasanya karena banyaknya tugas sehingga tidak bisa tidur,kurang tidur dan sudah stres duluan saat melihat begitu banyaknya tugas
5/22/2023 13:21:26,21,Laki - laki,Mahasiswa,Kurang dari 4 jam,Ya,Kadang-kadang,Ya,Ya,Kadang-kadang,Kadang-kadang,Sering,Sering,Ya,Ya,Tidak,Ya,ada tanggung jawab ,malas 
5/22/2023 13:21:37,20,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Tidak,Kadang-kadang,Ya,Kadang-kadang,Sering,Jarang,Sangat sering,Ya,Ya,Ya,Ya,overthinking di malam hari,mood yang tidak stabil dan berkepanjangan
5/22/2023 13:22:59,21,Laki - laki,Mahasiswa,6 - 8 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Kadang-kadang,Kadang-kadang,Sangat sering,Sering,Tidak,Tidak,Tidak,Ya,jam tidur yang tidak teratur menjadi sulit tidur diwaktu tertentu yang seharusnya beristirahat ,tidur pagi setelah subuh
5/22/2023 13:31:48,19 tahun,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Ya,Ya,Tidak,Kadang-kadang,Sangat sering,Sangat sering,Ya,Ya,Ya,Ya,Nonton tiktok,Ngantuk
5/22/2023 13:36:24,19 Tahun,Laki - laki,Mahasiswa,6 - 8 jam,Tidak,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak,Tidak,Tidak,Ya,Tugas kampus,Tugas dari kampus membuat anxiety :v
5/22/2023 13:50:01,19 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Tidak,Sering,Sering,Sangat sering,Tidak,Ya,Ya,Ya,Tugas ,ngantuk 
5/22/2023 14:05:52,15 tahun,Laki - laki,"Pelajar (SD, SMP, SMA)",4 - 6 jam,Tidak,Kadang-kadang,Ya,Ya,Tidak,Tidak Pernah,Sering,Sering,Ya,Tidak,Tidak,Tidak,"Karna deadline tugas yg terkadang mepet,juga rasa Lebih Baik jika melakukan tugas/belajar di tengah malam",Rasa Ngantuk berlebih 
5/22/2023 14:26:44,40 tahun,Laki - laki,"Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.)",6 - 8 jam,Ya,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Tidak,Ya,Ya,Ya,banyak masalah rumit dan belum bisa dipecahkan,"lebih ke kesehatan, kurang gizi"
5/22/2023 14:50:09,21 Tahun,Laki - laki,Mahasiswa,Kurang dari 4 jam,Tidak,Ya,Tidak,Ya,Tidak,Jarang,Jarang,Kadang-kadang,Ya,Tidak,Tidak,Ya,bermain HP sebelum tidur atau mengerjakan tugas lewat jam 12 malam,terdistract oleh internet
5/22/2023 14:57:22,20,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Ya,Sering,Sangat sering,Sering,Ya,Ya,Ya,Ya,"Bermain handphone, dan makan dan  minum berlebihan sebelum tidur.","Kurang fokus , merasa sulit dalam mengerjakan sesuatu "
5/22/2023 14:58:18,20 tahun,Laki - laki,"Mahasiswa, Pekerja Part-time",4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Jarang,Sering,Kadang-kadang,Tidak,Ya,Ya,Ya,"tidak tahu, karena sudah kebiasaan begadang",kebanyakan makan
5/22/2023 15:27:04,19 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Tidak,Tidak,Ya,Ya,Kadang-kadang,Jarang,Sering,Kadang-kadang,Ya,Ya,Tidak,Ya,Kecanduan bermain sosmed,Penggunaan smartphone yang berlebihan
5/22/2023 16:09:41,20,Laki - laki,Mahasiswa,4 - 6 jam,Tidak,Tidak,Kadang-kadang,Ya,Kadang-kadang,Jarang,Sering,Sering,Ya,Tidak,Ya,Ya,"Sebenarnya saya gampang sekali tidur, tetapi terkadang saya juga sulit tidur karena tempat yang tidak bersih, terlalu bising, dan Jika banyak tugas kuliah",Kurang tidur dan terlalu diforsir dalam mengerjakan tugas atau hal yang saya minati 
5/22/2023 18:25:52,21 tahun,Laki - laki,Mahasiswa,Kurang dari 4 jam,Tidak,Kadang-kadang,Ya,Ya,Kadang-kadang,Kadang-kadang,Sering,Sering,Ya,Ya,Ya,Ya,banyak pikiran,hp 
5/22/2023 19:01:20,20 Tahun,Perempuan,"Mahasiswa, Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.)",6 - 8 jam,Tidak,Kadang-kadang,Ya,Ya,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak,Ya,Tidak,Ya,Jam tidur yang tidak teratur ,Kurangnya istirahat
5/22/2023 19:45:55,20 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Kadang-kadang,Ya,Ya,Jarang,Sering,Sering,Ya,Tidak,Ya,Ya,Karna sudah terbiasa bergadang,Terlalu kelelahan
5/23/2023 7:28:50,19 tahun,Laki - laki,Mahasiswa,6 - 8 jam,Kadang-kadang,Tidak,Tidak,Ya,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Tidak,Ya,Ya,Ya,kurangnya uang ,teman mengajak mabar em el
5/23/2023 10:00:49,32 tahun,Laki - laki,"Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.)",6 - 8 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Kadang-kadang,Sering,Kadang-kadang,Sering,Tidak,Ya,Ya,Ya,Anak menangis di tengah malam,"Pekerjaan yang monoton,begitu begitu saja"
5/25/2023 17:53:39,20 tahun,Laki - laki,"Mahasiswa, Pekerja Part-time, Pengusaha (wirausaha atau pemilik usaha)",Kurang dari 4 jam,Ya,Kadang-kadang,Ya,Ya,Tidak,Sering,Sering,Sering,Tidak,Ya,Ya,Ya,Banyak kerjaan,Lapar
5/25/2023 19:04:15,20 tahun,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Tidak,Kadang-kadang,Ya,Kadang-kadang,Kadang-kadang,Sering,Kadang-kadang,Ya,Ya,Ya,Ya,Karena saya harus menggunakan perangkat elektronik agar bisa mengantuk,"Karena perangkat elektronik yang saya gunakan, dengan men scroll media sosial"