Wilayah Inflasi Jawa Barat,,,,,,,,,,,,,
,Inflasi Bulanan Tujuh Kota (m to m) (Persen),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jawa Barat,0.47,0.31,0.31,0.13,-0.11,0.32,-0.07,-0.08,-0.01,0.07,0.29,0.52,2.18
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.78,0.25,0.04,-0.02,0.01,0.27,-0.01,-0.16,0.11,0.13,0.32,0.44,2.18
Kota Sukabumi,0.42,0.26,0.3,0.07,0.03,0.16,-0.06,-0.22,-0.08,0.02,0.35,0.58,1.84
Kota Bandung,0.38,0.35,0.25,0.16,-0.25,0.41,-0.14,-0.1,-0.05,0.08,0.26,0.39,1.75
Kota Cirebon,0.1,0.17,0.29,0.02,-0.09,0.45,-0.12,-0.23,-0.25,0.01,0.33,0.49,1.16
Kota Bekasi,0.38,0.38,0.39,0.25,-0.08,0.48,-0.01,-0.01,-0.03,0.01,0.28,0.73,2.81
Kota Depok,0.61,0.25,0.36,0.02,-0.17,0.1,-0.16,-0.08,0.02,0.14,0.32,0.36,1.78
Kota Tasikmalaya,0.17,0.32,0.31,0.13,0.03,0.15,0.13,-0.26,-0.04,0.14,0.27,0.26,1.61