Tahun,Bulan,Indeks_Ketersediaan,Indeks_Akses,Indeks_Pemanfaatan,Indeks_Komposit
2022,Juni,2,3,3 ,3
2022,Juli,2,3,3 ,3
2022,Agustus,3,3,3 ,3
2022,September,2,3,3 ,3
2022,Oktober,2,3,3 ,3
2022,November,3,3,3 ,3
2022,Desember,3,3,3 ,3
2023,Januari,1 ,3 ,3 ,2 
2023,Februari,1 ,3 ,3 ,2 
2023,Maret,2 ,3 ,3 ,3 
2023,April,2 ,3 ,3 ,3 
2023,Mei,2 ,3 ,3 ,3 
2023,Juni,2 ,3 ,3 ,3 
2023,Juli,3 ,3 ,3 ,3 
2023,Agustus,2 ,3 ,3 ,3 
2023,September,2,3,3 ,3
2023,Oktober,2,3,3 ,3
2023,November,2,3,3 ,3
2023,Desember,2,3,3 ,3
2024,Januari,2,3,3 ,3
2024,Februari,3,3,3,3
2024,Maret,1,2,3,2
2024,April,2,2,3,2
2024,Mei,1,2,3,2