Tahun,Komoditas,CV
2021,Beras Premium ,0.50 
2021,Beras Medium ,0.41 
2021,Jagung ,-
2021,Kedelai ,4.07 
2021,Cabai Merah Keriting,20.00 
2021,Cabai Rawit Merah,31.13 
2021,Bamer ,7.23 
2021,Baput ,3.20 
2021,Migor Curah ,-
2021,Gula ,0.49 
2021,Daging Sapi ,1.37 
2021,Daging Ayam ,3.17 
2021,Telur Ayam Ras ,3.77 
2022,Beras Premium ,1.65 
2022,Beras Medium ,1.73 
2022,Jagung ,1.62 
2022,Kedelai ,5.80 
2022,Cabai Merah Keriting,26.65 
2022,Cabai Rawit Merah,20.21 
2022,Bamer ,21.30 
2022,Baput ,7.05 
2022,Migor Curah ,11.89 
2022,Gula ,1.87 
2022,Daging Sapi ,2.59 
2022,Daging Ayam ,4.10 
2022,Telur Ayam Ras ,6.31 
2023,Beras Premium ,4.76 
2023,Beras Medium ,5.17 
2023,Jagung ,10.24 
2023,Kedelai ,6.08 
2023,Cabai Merah Keriting,21.86 
2023,Cabai Rawit Merah,28.11 
2023,Bamer ,16.04 
2023,Baput ,11.23 
2023,Migor Curah ,1.18 
2023,Gula ,6.61 
2023,Daging Sapi ,0.47 
2023,Daging Ayam ,3.46 
2023,Telur Ayam Ras ,3.41 
2024,Beras Premium ,2.79 
2024,Beras Medium ,2.58 
2024,Jagung ,19.39 
2024,Kedelai ,5.45 
2024,Cabai Merah Keriting,10.36 
2024,Cabai Rawit Merah,8.57 
2024,Bamer ,16.19 
2024,Baput ,4.65 
2024,Migor Curah ,2.66 
2024,Gula ,2.00 
2024,Daging Sapi ,0.72 
2024,Daging Ayam ,2.97 
2024,Telur Ayam Ras ,3.78 